text,cluster_id,true_label
"I'm starting to feel out of conception here, but a pseudo-pseudo CLLI, that we put as the via location for all of the ones that have a via location, and that can be the place holder, then go, ""Oh, I need to figure out where to ship this to,"" and we could have that as a dummy address, maybe? I don't know what that would look like, but, something.",6,expressing confusion and proposing a placeholder solution
Would they all be the same? Pseudo-pseudo?,21,asking for clarification
"Yeah. Every G team ship code that we have, we would just map it to alpha.",25,explaining deployment strategy
Ship unknown or something like that. Load base alpha [indecipherable] .,21,noise
"Yeah, we can try that, Jim.",5,agreeing to try a suggestion
"What do you think, Ken? DJ?",9,requesting opinion
16] [crosstalk],0,noise
We can't find any real data that would at least get the records transferred in without fallout.,37,reporting a data issue
"That'd be good, as long as there's something there and we know we've got to go back to it. [indecipherable] target. What we have for [indecipherable] logistics is [indecipherable] ship to [indecipherable] .",21,noise
"Yeah. They should have those, right?",36,expressing agreement
"Yeah. I need to get back with them. I haven't sent any replies. Plus, he didn't call me back.",27,providing status update on communication
"That did bring me to another question. I can't find warehouses in the data at all, and I know that, Ken, we got feedback from you to look at the building type field that's there, and that was beneficial. We found the field locations, and may denote it as CS, which I assume is Central Stock. RDC Remote Distribution Center, and then I think an IDC is an Intermediate Distribution Center.",32,asking for clarification on data fields
"30] The CSs, the HCSs, and I think the RDPs even, RDCs, and net we treated as forward stocking locations, and we had a static list of CLLIs that we knew to be warehouses. But I don't have a static list or anything like that for the Verizon ones.",32,explaining current data handling approach
"58] I looked at non-working to working plug ratios, and I noticed that the central stock ones, or the building type designating them as central stock locations, had pretty much zero percent working plugs, which sounded to me like it could be either a warehouse or a forward stocking location.",32,reporting an observation from data analysis
"29] But their FRCs were like 357C, so that didn't sound like a warehouse to me. I did find...",32,providing technical observation
37] [crosstalk],0,noise
"Go ahead, I'm sorry.",27,expressing apology
"Well I know...To cut in there, I just found out not too long ago that Verizon changed their policy on reuse items. They are leaving the capital account. I just wanted to let you know that those 357Cs, that was reused stuff. [indecipherable] .",32,providing project update about policy change
"I did find several locations that seemed to be where the primary account was, a 12, 20, 6, 10, which is the new, right? One of them was the RDC, which was in there, which looked like it was grapevine...Something like that.",32,providing update on investigation
"27] But, there were also several other references to assets to locations that seemed to be where the primary account was 12, 20, 6, 10, and those locations didn't exist in the ice locations table. It almost sounds like those could be warehouses, but they didn't exist in the warehouse table.",14,reporting a data inconsistency issue
"All right. Let me... [indecipherable] a Verizon call, and I don't know if I have all the emails that he had requested, all the special warehouses. Let me see if I can find that. Grapevine, and [indecipherable] , and there were a couple others. I think that...",7,expressing uncertainty about information availability
"I've monopolized the time [indecipherable] , but I think that's pretty much all I had.",40,wrapping up update
32] [pause],0,noise
"We don't have to go into detail on this, but [indecipherable] said to try to work those shipments, and I don't know if you saw the email. Today at 11:00 AM Eastern Time. Would have been 10, 11. Go into it now, [indecipherable] .",7,expressing uncertainty
What is the problem of the shipment? What exactly was in the email? I can probably find it...,7,requesting clarification
The shipment of...,25,noise
19] [crosstalk],0,noise
Is this the one about the projects?,42,seeking clarification
You're cutting out. Or I am.,43,noise
Sorry.,4,expressing apology
"No, go ahead. You were cutting out, I couldn't hear.",41,requesting clarification
Is this the one about the projects being wrong on the shipments?,18,asking for clarification
Yeah.,1,expressing emotion
"We were just looking at that before we got on the call with you guys, so I should be able to give you an update tomorrow once we finish looking at it.",13,promising an update tomorrow
Thanks.,10,expressing gratitude
Sure. Is there anything else?,5,requesting additional input
47] [pause],0,noise
"No, not here.",24,noise
No.,1,noise
"All right. Thanks, everybody. We'll talk to you guys later.",10,closing the meeting
Thank you. Bye.,10,closing the conversation
DJ seems peppy.,9,expressing emotion
"Is it her Friday, too?",16,asking about schedule alignment
07] [laughter],0,noise
...or that is doesn't allow remote connections -- which I has up until now -- or that it can't connect to the server. What the heck?,22,expressing confusion
[0:09] This computer may not have connectivity.,22,reporting a technical issue
[0:20] . Susan? Anyone want to put board up?,23,requesting action
I can't get connected to my computer to get the board up.,-1,reporting a technical issue
You can Google. You can Google.,48,noise
"Well, my board's up.",23,reporting status update
"OK, well, call them out. What do they got [laughs] ?",30,requesting information
I'm inside updated [indecipherable 00:40] inventory search.,32,working on a task
"Still working on that, Adam?",34,inquiring about task progress
I've worked on it a tiny bit yesterday.,29,reporting progress
Most of you time was spent on...,34,expressing confusion
"Other things, and including the remote. I had received messages are now coming in from [indecipherable 00:57] ...So, I had a bunch of those. This is [indecipherable 01:02] screen. I got it down, from 203, I got it down to 60, that they're going to have to look at.",7,providing progress update
That's good. You got rid of the stuff that they need to be concerned about.,36,providing positive feedback
"Just as long as there's [indecipherable 01:13] have to see [indecipherable 01:13] , we can give them an update on that this morning. They need to look at those 60 that are left, because they can't [indecipherable 01:20] FTR serial numbers. [indecipherable 01:24] .",7,noise
24] [crosstalk],0,noise
"Patrick, if you launch the [indecipherable 01:30] .",11,noise
"before [indecipherable 01:33] follow it again, hours of testing [indecipherable 01:36] [1:30] .",3,noise
40] [laughter],0,noise
Can we get it on the Internet at all?,25,inquiring about deployment status
"OK, Grady's got generate report data.",16,reporting task assignment
"I'm still working on that. I've got to update [indecipherable 01:50] out, and couldn't touch TFS. I'll update LCAM.",37,working on a task
Who's next?,38,requesting speaker turn
"Kevin and Drake's got modify the retail notifications that handle non-sterilized equipment, and to modify received equipment that handle non-sterilized equipment.",28,describing task requirements
"In theory, [laughs] [indecipherable 02:17] this afternoon...",11,noise
18] [crosstalk],0,noise
"I know, what's this ""in theory"" crap?",48,expressing frustration
21] [laughter],0,noise
"So, you're making progress, though.",29,acknowledging progress
Reboot.,24,requesting system restart
"I don't have anything right now [indecipherable 02:34] , and Patrick has got break out bay audit details into their own page and grid.",36,reporting current status
I'm plugging away at that.,33,continuing current task
"And add duplicate H [indecipherable 02:47] description for older, unprocessed [indecipherable 02:51] .",48,reporting a bug
"Yeah, those are all bay audit screen updates. I'm shoveling through them at the moment.",36,working on a task
03] [laughter],0,noise
"I swear, that's weird. Shut that... [inaudible 03:07] that.",2,noise
And new [indecipherable 03:10] update.,11,noise
"And Brian doesn't have anything? [laughs] He's afraid to try and break his stuff apart into tasks. I don't think he has any tasks out there, so they wouldn't show up on the board. He's being a bad boy [laughs] .",20,commenting on colleague's task status
And very silly.,40,expressing emotion
He's usually my good one. The one that puts the tasks out there [laughs] [3:28] .,42,expressing emotion
"""Brian's not doing anything!""",20,reporting lack of progress
35] [laughter],0,noise
"Try it now, Susan.",23,requesting action
Don't think I'm [indecipherable 03:41] .,2,noise
"I did want to bring up, while we're here...I keep looking up there for the time since it's not up. We do have some issues that probably are going to require a release to be fixed, so I don't know who has time to look at those issues [laughs] .",13,reporting issues requiring release
Take the keyboard away from her!,41,noise
Apparently Brian does.,16,expressing agreement or confirmation
Give them to Brian. He doesn't have a lot of work.,16,assigning task to colleague
"[4:11] Yeah, it's all Brian. I sent that email out this morning. I don't know if you looked at it yet. You know that issue where I said it was weird on those ZFR's? There were two audit trail records that flipped it back. It's also doing it when they manually edit stuff on the edit assets screen.",15,providing status update
Maybe I should have [indecipherable 04:39] these after all.,2,noise
"That's a problem, because they're editing it, and they're changing values, and then we're going, ""Nope!"" And putting them right back.",15,describing a workflow issue
"47] That, to me, is a show-stopper type of an issue, even though the value is not horribly, horribly important. It's like parent amount position and parent [indecipherable 04:56] . Is this reverting back to amount position in a [indecipherable 05:01] in another location? And there was something else.",15,reporting a critical issue
08] [crosstalk],0,noise
"Can I get rid of [indecipherable 05:10] ? So, I don't know. How do you all want to handle the things that are out there now that really need to be fixed? Because they don't have workarounds for them.",11,requesting guidance on handling existing issues
Fix them?,36,requesting confirmation on fixing an issue
33] [crosstalk],0,noise
"Who's going to do the fixing and not do their one [indecipherable 05.37] stuff, is my question?",18,requesting clarification on task responsibility
[5:44] .,3,noise
[5:45] your desktop.,23,noise
I didn't do anything on my desktop.,39,reporting no progress
49] [crosstalk],0,noise
...your desktop. Internet Explorer...,36,noise
Tuesday. It does its normal reboot during the week. Is it Wednesday morning you come in [indecipherable 05:58] ?,11,providing status update
58] [crosstalk],0,noise
Call [indecipherable 06:05] . That's what I do.,11,noise
"I don't need to go to TBS now, I'm just going to go and pull up those emails that have those issues that we need to decide.",36,reviewing issues for decision-making
Mailed all those [indecipherable 06:18] .com.,7,noise
"Only three minutes, it's not worth it [laughs] .",34,expressing emotion
Do you have the master [indecipherable 06:26] for Frontier on the share site?,25,requesting information about file availability
"It's not on the share site, right now, because I've been trying to get it updated, so, it's just on our local machine. I'll copy it out there and tell you where it is. I'm going to send it out when I get through it, if I can ever flipping get through with it, if they will quit sending emails.",14,explaining current status and next steps
"49] Actually, I'm cutting it off at this morning and trying to get the rest of them in there.",36,progress update
"Didn't you say [indecipherable 06:55] add it, it's 82, it's 85?",3,noise
Yep. [laughs] What can I say?,0,expressing emotion
My God.,33,expressing emotion
"Frontier would like that list too, but I'm like, being selfish and holding it all to myself.",36,expressing humor about information sharing
"What is the saying? People don't know what's going on, they freak out. People know that they're going to die at a certain time they're OK.",40,expressing opinion
20] [laughter],0,noise
Right! What is that phrase?,40,expressing confusion
I know all kind of phrases. I think you just made that up.,40,expressing doubt
You've never heard that phrase?,40,expressing confusion
No.,1,noise
36] [crosstalk],0,noise
"That's true, I mean it's like the chaos. If people don't understand that there's chaos, they freak out. If people understand that it's chaos, and it's organized chaos, they're OK with it.",48,expressing opinion about project state
I believe that.,24,expressing agreement
53] [crosstalk],0,noise
Are you saying me sending out the list is that we make it organized chaos?,36,seeking clarification
That's perfect. I know my issue has been recognized.,36,acknowledging issue recognition
"Well, that's what I was trying to give them. It's like, I'm not ignoring these. I've got them on the list. Some of them I've got on the list because we still need to research them, because I don't know if they're an issue or not, or it's just something that they did wrong, then I need to tell them here's the correct way to do that.",30,explaining task status and next steps
21] [crosstalk],0,noise
I dare you one day to just kind of add a fourth digit to it.,17,suggesting a feature enhancement
1268 [laughs] .,0,expressing emotion
[8:32] frame.,23,noise
I was going to say like a million [indecipherable 08:34] 73 years old.,36,noise
"Even worse, really high. See if anybody notices. I might do that, now that you said that [laughs] . Whenever I get to the 90s, instead of it being issue number 90 it will be like 92. [laughs] Or something.",36,expressing a plan to manipulate issue numbering
53] [crosstalk],0,noise
700,36,noise
56] [laughter],0,noise
Just start going backwards. This is issue number two on the list or make it three.,26,planning task order
"In one of them I sent out, I don't remember if I left it or not, but I had put on there, that the issue number does not indicate priority, [chuckles] because it doesn't. When I say it's issue number 88, that doesn't mean anything except that I have it on this list.",36,clarifying issue numbering meaning
"When [indecipherable 09:24] will see that list to Jim and he'll go, ""Um, well, uh, [indecipherable 09:30] 90 or?""",11,noise
30] [crosstalk],0,noise
31] [laughter],0,noise
"Welcome to the dark side, Kevin. ",43,expressing emotion
"Hold on, Jim's calling into the meeting here.",8,indicating interruption
42] [crosstalk],0,noise
I'm going to hang up on you and call in to the call.,11,informing about call reconnection
"OK, be nice to Jim.",5,expressing a social reminder
52] [laughter],0,noise
He's throwing me under the bus now.,16,expressing emotion
You too.,10,noise
Bye.,10,noise
Bye.,10,expressing emotion
The three of us we're over to where we were.,36,unclear statement
05] [crosstalk],0,noise
"I don't have any, Grady.",5,no issues to report
"I wouldn't let you back, I'd [indecipherable 10:11] if you did.",23,noise
12] [crosstalk],0,noise
It's been too hot today for a sweater.,43,expressing emotion
"Hi, who's on the call?",11,inquiring participant identity
Jim's on.,5,noise
Kathy Deacon.,38,noise
Cindy [indecipherable 10:30] .,36,noise
34] [crosstalk],0,noise
Do we have anything?,5,requesting status update
Just a quick update on...,40,providing a status update
"Hi, who just joined?",8,greeting and checking attendance
It's Kevin.,20,introducing oneself
"Hey, Kevin. Yesterday Shield started sending receive equipment, notifications back to LCAM. Adam was looking at that. There are about 60, that were in the SEC stream, that we need you all to look at because they came across and got an SEC error.",18,reporting an issue with data stream errors
"The only error that's showing up right now is the [indecipherable 11:15] Not Found, so we need to track down exactly...",3,reporting a bug
"20] Some of that may be fallout, some of it may not. I've spot-checked several other and they weren't fallout so far, so there's this new [indecipherable 11:27] to us. We need to figure out where that equipment's coming from or that [indecipherable 11:32] , may just be something we didn't have previously.",7,investigating issue sources
"It was not fallout, and it was not in the CL model. I know I spot-checked one yesterday. It was truly a [indecipherable 11:48] that we didn't receive from you all to import, and it didn't fallout, because we never received it. I don't know if they're all bad, but...",-1,clarifying issue with missing data
"We'll check them. I'm not going to say this is the problem, but there's a barcode, that Nortel that we've always accepted, the 12th of character NNTM. There must have been a new person at the warehouse.",28,speculating on potential issue
"15] They've replaced them with the new FTR one. I don't know if that's it. It's happened before, that they hire somebody new, they don't have the [indecipherable 12:28] receive [indecipherable 12:29] .",7,reporting an issue with new personnel integration
29] [laughter],0,noise
Most of them are FTR-type hands,48,providing task status update
"That might be one reason, but we'll give you the official answer after we check.",26,promising to verify information
So far we've received about 203 Received Equipment and 60 of them fell out with Did Not [indecipherable 12:49] at this point.,18,reporting progress on received equipment
That was the only update we had for you all this morning. Do you all have anything for us?,13,requesting updates from others
57] [pause],0,noise
"We're working on...Last night we were talking about the ship via CLLI codes, that starts with SA-type T [indecipherable 13:14] , the dimension was 500 some.",6,providing project update
"21] We're working, [indecipherable 13:22] to see what would be a report that would be good for us to go through. We'll get that figured. ",3,planning data report
"Kim wanted to talk about those fallouts, try to do it as a group, so we're not having any conflicts. We can work definitely on that. I don't have anything else.",36,proposing group discussion to resolve conflicts
Anybody else have anything?,5,requesting additional input
"Susan, I sent you an email and got you [indecipherable 14:15] call.",11,notifying about email and call attempt
"I probably haven't seen it. I have problems logging into my computer from the conference room this morning. If you sent it in the last 30 minutes, then I haven't seen it yet.",22,reporting an access issue
"I've got it, DJ. We don't have anything else, so wait for the other caller to go over it now.",9,waiting for input from another participant
Is Drake with us?,28,inquiring about participant presence
"Are you asking if Drake is here? Yes, he's here.",34,providing information
OK. We wanted to talk about two changes that were made to CTDI interface.,12,initiating discussion about changes
Do we need to be here?,24,questioning meeting necessity
You don't have to stay.,45,giving permission to leave
We had some questions. We're trying to understand...Let me just pull it up.,29,expressing uncertainty and preparing to clarify
Can you see if Daryl is available?,16,requesting availability check
"I don't have it on hand, but I can get started. Drake, we were on that call with Mike [indecipherable 15:25] . Remember, he had that flowchart of the interfaces between Infinium and CTDI, and LCAM and CTDI. You had identified two features or code changes that were outside the scope of the project. One of them was, where a part number and/or VIN changes.",12,referencing previous discussion and project scope
Yep.,1,noise
The other one was the nightly snapshots to check that we're all in sync.,34,reporting progress on synchronization tasks
Yes.,1,expressing agreement
"Correct? OK. The first one...I took notes, plus I double-checked the CTDI. We were under the impression, for those MRs, the finance issues and whatever the MR, that those could be worked through the existing code of send and receive. I was a little confused why that would be outside the scope.",18,expressing confusion
"26] Then the second one -- I thought, my notes were -- that LCAM agreed to just send a file [indecipherable 16:37] , like on an FTP server each night. Is that true?",7,asking for confirmation
"We hadn't decided. It could either be a service or a file, depending upon the size of that file, how much data...",37,discussing implementation options
"Were you sending it to them, or they were sending it to you?",25,requesting clarification
"No, we were creating, depending on which way we were doing it. If we create a service, they would pull it whenever they wanted. If it was an FTP, then we would send it to them or put it on the FTP site, daily or however often it was run.",-1,explaining data delivery methods
"To tackle the first one, first. You're saying that Mike suggested to use existing interfaces, is not appropriate or what...",18,seeking clarification
The existing interface doesn't change part numbers now. We would either have to change the existing interface to make it change part numbers -- which is not what the interface is designed for -- or we create a new interface to allow them to change part numbers. That's all they're doing with it.,36,explaining design options for interface modification
"59] Either way, it'll be a change for us. It is not like we could just allow them to send it to the existing interface and it'll change the part with what they want.",12,explaining a technical constraint
Wasn't that a two part thing? One with...,35,expressing uncertainty
"Yeah, part or a serial number. VIN number.",36,providing clarification
"OK, but short of changing the part number, I thought the MR, the old part number would go out and the new one would come in.",36,clarifying a process or behavior
"Yeah, that's...",33,noise
Would that really...?,49,expressing confusion
We seem to have one that's still bringing back in...,36,reporting a bug
"We're just trying to make sure, before we accept the digital feed that.",18,clarifying requirements
We still wouldn't change that.,36,expressing status quo maintenance
We might need an expert. We're a little confused.,34,expressing emotion
"Their proposal was to send it out as one part number and then we would send another message, have it coming back in as a different part number. Still, the code doesn't change the part number when it comes in, it [indecipherable 19:03] that VIN and moves that VIN where it needs to be. It doesn't change the base equipment on that, that VIN.",7,explaining current system behavior
[19:13] It wouldn't be treated like take the old one out and replace it with the new one?,36,asking for clarification on process
"No. Basically it would [indecipherable 19:25] no change, the way they're saying to do it now. So like I said, it's either change that interface, or create a new interface.",3,discussing interface changes
A new interface is safer. It's a safer way to do it.,18,explaining a design decision
"Yeah, because I don't think you want to change the part every time you get something in, because we wouldn't have any idea whether this was a part change or it's just receiving something in.",15,expressing concern about process changes
I've got to see. Mike was thinking that those would be treated as two separate records. ,14,discussing data handling approach
"I hear what you're saying. We have a whole record leaving and a whole record coming in. To me, it would be changing the VIN.",36,providing technical clarification
But you have to find it.,29,requesting action
[20:23],3,noise
"The other one, [indecipherable 20:30] would it be something we could do? Just run a query and let them pick it up? Isn't that all you're doing?",11,asking for clarification about a task
Yeah.,1,noise
Have your part number and quantity. I just don't know why that would be such a significant code issue.,36,requesting information
49] [crosstalk],0,noise
We said it was three points.,-1,confirming task estimation
The whole thing?,36,seeking clarification
No. Three points for each of them.,47,expressing information
 Don't look at me like that. I didn't make the query.,39,deflecting responsibility
I didn't make it either. I didn't make the query.,39,reporting incomplete work
[21:00] until now.,23,noise
"You can write, if you want to. Have Kim or Edward or someone write that query to do it, that's possible. Otherwise, like I said we create another service [indecipherable 21:22] or just sent it through with ITP.",36,suggesting task delegation
"DJ, do we have enough for now? I guess I don't...",9,expressing uncertainty
Because we're not just pulling a query...,39,explaining a process
37] [crosstalk],0,noise
...with what we do.,24,noise
"On the second one, I think we talked about, you wouldn't want an audited adjustment anyway, right?",47,seeking confirmation
54] Jim. Right.,0,noise
We want [indecipherable 21:58] .,3,noise
"But second, yes, there is a discrepancy. We were going to keep that manual anyway, correct? I think even Mike agreed.",15,confirming agreement on documentation approach
"That's our understanding right now, is that it would just be a...It's just a way of being right and doing corrections at this point. That would be manual.",15,explaining current understanding
15] [pause],0,noise
"All right. I guess, DJ, we have enough to review our options and get back with them.",9,planning next steps
39] [pause],0,noise
"48] So, just out of curiosity, Adam and Drake. Why was this outside the scope of the interface? We just didn't clarify it up front?",36,requesting clarification about scope
It was never asked for up front.,48,clarifying requirements
